user_id,GPA,attendance,num_extracurricular_activities
1,3.459170957458454,83,0
2,2.207132206320333,86,1
3,2.771846689132858,81,2
4,3.8060743112725755,79,2
5,2.273416287889763,77,1
6,2.651380251189237,84,1
7,3.631153463647215,84,0
8,3.264502000495785,94,3
9,3.518276579598594,77,2
10,3.9179373796779897,87,4
11,3.8267085587899,96,2
12,2.57319397966857,95,3
13,2.597817488784786,76,1
14,2.1727723004265105,96,0
15,2.750861131744496,95,2
16,3.5488984038172227,84,1
17,2.516797633603791,86,3
18,3.6560630718663,94,4
19,3.1463399192259276,97,4
20,2.720368657953951,99,4
21,2.8364741250303016,91,1
22,3.5419019128185516,98,2
23,2.632338809769062,75,1
24,3.4332197816208225,85,3
25,2.8340232613434653,90,3
26,3.6316612566970674,89,2
27,2.423448591893381,79,4
28,2.6174098688291387,91,3
29,2.994949936106444,76,4
30,3.497879355881752,85,0
31,2.315246954164718,82,4
32,3.806693618240013,89,1
33,2.0356434513268207,87,1
34,2.0527963755096073,99,0
35,2.8979199784937775,87,2
36,3.657397408221641,91,0
37,2.2633982354897206,84,1
38,2.970844014554477,81,1
39,2.8577938814978467,94,1
40,3.4896611977508254,78,2
41,2.4275622368829404,80,2
42,3.188039310517886,84,4
43,3.8392083974143105,90,3
44,2.1103260185539447,94,3
45,3.768907890933856,87,1
46,2.417802196857342,87,3
47,2.1650852606590063,99,3
48,2.6383368428283074,83,0
49,3.0203726097059684,97,2
50,2.714194584328994,91,3
51,2.2651664889190335,80,0
52,2.9533105184150035,95,4
53,2.0040825603630186,95,4
54,2.019035006952172,86,4
55,3.662573569430515,82,4
56,3.1366198344710003,79,3
57,2.727037389330446,93,2
58,2.8058745940449006,89,1
59,2.9123670491151845,92,1
60,2.4715354938188123,94,1
61,3.4537768766631762,86,0
62,2.614426971933144,79,0
63,3.153050862042565,97,4
64,2.2691285884590595,85,0
65,2.055136032341274,94,3
66,2.298568237437924,83,2
67,2.7052481674471807,97,2
68,2.277991363093487,80,0
69,3.318534964659438,83,4
70,2.325851589562461,82,2
71,3.6259801265456435,94,1
72,3.591884176310018,79,3
73,2.5672124785655215,87,0
74,2.9315972454992894,91,0
75,3.366189409873363,92,0
76,2.848685529645229,78,3
77,2.1565420454987505,77,3
78,2.5548589369412067,87,0
79,3.02673588259207,88,3
80,3.6326588967707814,86,1
81,2.1384602378719926,93,2
82,2.3530155422633614,75,4
83,3.8620875728053026,82,3
84,2.636245358825702,76,1
85,2.7550336681268632,94,1
86,3.331769382584589,98,0
87,2.7367782856245384,77,4
88,2.461554434326283,77,2
89,3.936912289881768,91,3
90,3.0420274266525476,86,3
91,2.742057464558383,93,0
92,3.523020237072506,81,1
93,2.2044433212263863,84,4
94,3.8042625418608513,84,2
95,3.623655885735066,92,1
96,2.7529727267522826,96,2
97,2.3727314392021874,81,2
98,3.7190955604729594,94,4
99,3.9123066785052885,79,1
100,2.09575389950405,80,4
101,3.9748689553801717,78,0
102,2.7726505889260444,88,0
103,3.612274142113878,75,0
104,2.915600516547368,93,2
105,3.043665296845703,84,1
106,3.0718817146290363,97,3
107,3.9267291869450887,83,3
108,3.259679535919415,82,0
109,2.592253689763199,98,0
110,3.253204306486345,80,3
111,2.180559649205809,79,0
112,2.6626999911346685,85,0
113,2.3475231544962023,89,0
114,3.2120545775665468,77,0
115,3.063596887566802,84,2
116,3.449347177896892,92,0
117,2.677102670778778,87,3
118,3.9708496674194516,91,1
119,2.639990489665484,90,4
120,2.104540366723422,95,3
121,2.540868437870704,86,1
122,3.2477860790903197,90,3
123,3.5206654384996385,88,0
124,2.4837932803295297,84,3
125,3.560057068280017,91,0
126,2.672180850644718,93,4
127,2.32810512522755,83,3
128,2.280854182313031,88,3
129,3.6364355784902163,80,4
130,2.4732393060261115,98,2
131,2.4400426213601714,90,1
132,3.765695544605789,92,4
133,2.7293205800044316,75,3
134,3.980642432337232,79,0
135,2.5389472522805683,96,1
136,3.320606320877787,85,4
137,2.3890171483365545,82,3
138,2.3850385222259147,76,2
139,3.6179810148977167,87,1
140,3.8516594328551914,90,1
141,3.7886923218008652,83,3
142,3.667691295886055,88,4
143,3.166550981825053,94,1
144,2.2262863283213155,91,4
145,2.67519241743235,91,3
146,2.562087510051531,79,1
147,2.5013250621075267,93,1
148,3.9464957205561024,97,1
149,2.299088402603961,85,0
150,2.9384304892089497,86,2
151,3.852346548749857,99,3
152,2.121104852507341,92,3
153,3.4912571995450756,81,0
154,3.2189716190646402,95,1
155,2.720416968908223,82,4
156,3.8763761081105885,83,0
157,2.6703111353672635,84,1
158,2.3773613324322334,96,0
159,3.4490082868900704,77,2
160,2.665041149452407,93,0
161,2.5737281156709493,79,0
162,3.8624020049841534,89,1
163,2.6154923658644798,96,1
164,3.1489426772712577,89,3
165,3.309148605895361,87,2
166,2.9706906678387313,82,2
167,2.62239498354183,83,3
168,3.0847243446460286,96,3
169,2.799353018847354,89,3
170,2.070989608143493,95,1
171,2.6179130212874187,77,2
172,3.1727571075541814,88,0
173,2.0253710503261857,87,1
174,3.299914892416991,76,0
175,2.0620464387118878,86,4
176,3.125751036776696,92,1
177,2.121981851948222,90,4
178,3.6958107555356317,83,0
179,3.8208466784718222,81,2
180,3.2287598782017346,75,1
181,2.252988767956223,79,2
182,3.8071426038617338,91,4
183,3.4564470085889543,85,3
184,3.758137256960876,85,2
185,2.9277523391586944,96,1
186,2.843381381104635,76,3
187,3.1856647078986873,82,2
188,2.9111284767794094,88,1
189,2.341337407232319,88,3
190,3.6506294597952724,85,4
191,2.380910706845394,78,4
192,3.4928470305399206,90,2
193,3.7816625402950623,81,0
194,3.058397658742297,75,1
195,2.5060564023821925,99,2
196,2.0429553242143186,80,2
197,3.3091213168004225,94,0
198,3.1066030344360924,82,2
199,3.382323485247432,97,3
200,3.902696743305455,81,3
201,2.9029253999384754,92,4
202,3.3452340147126565,93,0
203,2.2848878027008697,77,4
204,2.27913172288544,99,3
205,2.9866833979891414,84,3
206,3.1735288239562363,89,4
207,3.9691358246183404,87,2
208,3.1375519814872153,85,4
209,3.8346174344598314,83,1
210,3.575045446813939,93,4
211,3.798433320818403,76,3
212,3.7147379660806217,78,3
213,3.083868363580801,93,3
214,2.00005505982199,92,1
215,2.9103124504779316,75,0
216,2.43887777287971,93,2
217,3.4284134404404414,90,4
218,2.395698125229946,86,2
219,2.946105639905211,82,1
220,2.049016398617224,80,4
221,2.1806866017051636,85,0
222,2.784977006786205,93,3
223,3.460272905859768,80,3
224,3.347237202276232,99,1
225,2.855317897476628,91,4
226,2.3814726932341728,86,1
227,2.6118601882341075,94,3
228,2.987916085002234,82,0
